FIPS_master,State_master,DB:2009:percent,DB:2010:percent,TOT_POP,TOT_MALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,H_MALE,H_FEMALE,AgeGrp01:0-4:2010,AgeGrp02:5-9:2010,AgeGrp03:10-14:2010,AgeGrp04:15-19:2010,AgeGrp05:20-24:2010,AgeGrp06:25-29:2010,AgeGrp07:30-34:2010,AgeGrp08:35-39:2010,AgeGrp09:40-44:2010,AgeGrp10:45-49:2010,AgeGrp11:50-54:2010,AgeGrp12:55-59:2010,AgeGrp13:60-64:2010,AgeGrp14:65-69:2010,AgeGrp15:70-74:2010,AgeGrp16:75-79:2010,AgeGrp17:80-84:2010,AgeGrp18:85+:2010,UnemploymentRate:2010,PCT_LACCESS_POP10,FFRPTH09,Poverty_Rate_2010,LI:2009:percent,LI:2010:percent,OB:2009:percent,OB:2010:percent,Rural_percent_2010,Alcohol:Any:2010,Alcohol:Heavy:2010
42029,Pennsylvania,8.1,8.2,498886.0,245161.0,219158.0,226278.0,17584.0,18308.0,1677.0,1602.0,10610.0,11479.0,258.0,254.0,17921.0,14582.0,31126.0,34929.0,35717.0,36401.0,30284.0,27323.0,27150.0,31765.0,37168.0,41458.0,40118.0,33997.0,27575.0,20010.0,14006.0,11293.0,9299.0,9267.0,6.2,39.13965628794474,0.656872682,6.519681417891602,18.7,17.0,21.2,22.2,13.270036783856776,67.6,7.0
37159,North Carolina,12.1,12.6,138428.0,68363.0,55995.0,57122.0,11727.0,12261.0,764.0,701.0,780.0,913.0,60.0,68.0,5712.0,4932.0,9044.0,9101.0,9143.0,9415.0,8704.0,8273.0,8406.0,9054.0,9381.0,10331.0,10270.0,9104.0,8209.0,6271.0,4560.0,3721.0,2829.0,2612.0,14.1,23.649227694396295,0.555707914,18.54385279172555,30.1,30.2,31.5,33.1,38.822348079868235,41.1,5.6
19071,Iowa,9.1,9.9,7441.0,3695.0,3645.0,3711.0,32.0,26.0,30.0,22.0,16.0,12.0,4.0,3.0,90.0,97.0,470.0,422.0,471.0,503.0,314.0,340.0,377.0,417.0,394.0,543.0,613.0,599.0,522.0,395.0,297.0,300.0,236.0,228.0,5.9,45.29640039891533,0.536696632,9.102296450939457,32.2,29.6,32.4,33.3,100.0,59.8,10.1
56005,Wyoming,7.1,7.2,46133.0,24258.0,23648.0,21368.0,203.0,114.0,577.0,513.0,195.0,234.0,38.0,38.0,2015.0,1596.0,4063.0,3550.0,3414.0,3200.0,3273.0,4116.0,3563.0,3107.0,2858.0,3547.0,3917.0,3024.0,1885.0,995.0,626.0,463.0,317.0,215.0,6.0,22.629609690890902,0.591456736,6.68539077358574,26.6,25.5,31.9,32.7,29.07246439641905,59.8,9.5
34025,New Jersey,8.4,8.5,630380.0,306654.0,267015.0,279768.0,24885.0,28226.0,2253.0,2230.0,17298.0,18465.0,378.0,382.0,31589.0,29350.0,34755.0,41128.0,45551.0,44044.0,34185.0,32536.0,32324.0,38474.0,48025.0,56500.0,54479.0,44570.0,37118.0,26194.0,18148.0,15444.0,13154.0,13751.0,8.7,34.43039404773549,0.766699169,6.648444124675591,21.9,22.0,21.9,22.4,3.7294964941781146,68.5,8.4
40103,Oklahoma,11.6,12.4,11561.0,5708.0,5066.0,5225.0,159.0,116.0,645.0,723.0,39.0,41.0,14.0,9.0,154.0,146.0,816.0,789.0,814.0,705.0,533.0,674.0,649.0,680.0,762.0,866.0,862.0,815.0,664.0,583.0,470.0,377.0,265.0,237.0,6.8,29.31227588102353,0.346740638,13.123128412894133,32.6,32.0,33.8,35.2,56.30135801401263,48.8,4.3
51059,Virginia,8.1,7.8,1081726.0,534310.0,387056.0,387693.0,54229.0,59217.0,6633.0,6392.0,103148.0,111215.0,1430.0,1452.0,86267.0,82215.0,72960.0,72670.0,72332.0,67443.0,60139.0,79896.0,78746.0,80812.0,84178.0,89341.0,85426.0,71905.0,59588.0,38239.0,24728.0,17597.0,12892.0,12834.0,5.1,18.998775527617067,0.807404083,5.566639246937613,18.5,16.9,23.5,22.2,1.3940107183236743,65.3,6.7
20031,Kansas,11.2,10.9,8601.0,4252.0,4183.0,4272.0,34.0,36.0,73.0,80.0,22.0,29.0,1.0,0.0,87.0,89.0,491.0,573.0,639.0,585.0,347.0,417.0,435.0,474.0,530.0,689.0,707.0,664.0,567.0,472.0,320.0,254.0,216.0,221.0,7.6,53.71143046249075,0.817184217,9.877132291542408,24.7,27.1,35.1,35.2,70.89873270549936,51.6,6.8
51161,Virginia,10.8,10.5,92376.0,44079.0,40504.0,44393.0,2586.0,2777.0,269.0,255.0,1360.0,1524.0,38.0,60.0,984.0,967.0,4605.0,5421.0,6161.0,6150.0,4318.0,4534.0,4715.0,5871.0,6555.0,7203.0,7418.0,6973.0,6540.0,4644.0,3665.0,3076.0,2420.0,2107.0,6.3,21.309654174688884,0.498834246,6.240046009555831,24.0,26.0,26.9,26.6,18.54053000779423,52.6,5.7
25017,Massachusetts,8.0,8.7,1503085.0,730864.0,620366.0,656061.0,42513.0,44944.0,4482.0,4636.0,76868.0,80509.0,1140.0,1185.0,49290.0,49060.0,85671.0,87493.0,90446.0,98373.0,101746.0,113746.0,104578.0,102073.0,110945.0,120213.0,112788.0,96663.0,81335.0,57018.0,42739.0,36319.0,30183.0,30756.0,6.9,26.75280624460739,0.708473043,7.921039651910604,21.1,21.8,23.1,23.3,3.027706350605588,68.3,8.8
